SF,TP,CL,len_CL,len_SF
3000038,1,1000002,1,498
3000313,1,1000002,1,437
3000066,1,1000003,2,407
3000034,1,1000003,1,395
3000118,1,1000002,1,335
3000954,1,1000002,1,331
3000135,1,1000001,1,320
3000071,1,1000001,1,313
3000554,1,1000000,1,297
3000120,1,1000001,1,294
3000031,1,1000002,1,281
3002022,1,1000002,1,275
3000001,1,1000000,1,253
3000102,1,1000002,1,239
3000110,1,1000003,1,231
3000070,1,1000001,1,225
3000083,1,1000002,1,224
3002019,1,1000002,1,213
3001604,1,1000003,1,202
3000068,1,1000004,1,192
3001983,1,1000000,1,186
3000153,1,1000001,1,184
3000445,1,1000002,1,184
3000157,1,1000003,1,182
3000403,1,1000003,1,181
3000033,1,1000002,1,180
3002021,1,1000003,1,179
3000114,1,1000001,1,171
3000092,1,1000002,1,167
3001808,1,1000003,1,159
3001658,1,1000000,1,158
3000918,1,1000001,1,158
3000134,1,1000001,1,156
3001061,1,1000000,1,154
3001332,1,1000001,1,152
3000043,1,1000002,1,149
3001156,1,1000002,1,148
3001059,1,1000001,1,145
3000143,1,1000002,1,141
3000131,1,1000003,1,134
3001890,1,1000002,1,131
3001261,1,1000003,1,131
3001528,1,1000001,1,131
3000149,1,1000003,1,131
3000334,1,1000001,1,129
3000309,1,1000004,1,128
3000472,1,1000003,1,127
3001541,1,1000002,1,126
3001387,1,1000000,1,126
3000087,1,1000001,1,121
3001825,1,1000001,1,121
3001342,1,1000001,1,121
3002049,1,1000001,1,116
3001975,1,1000003,1,116
3000116,1,1000000,1,115
3000388,1,1000001,1,115
3001479,1,1000002,1,115
3000428,1,1000002,1,110
3000100,1,1000003,1,110
3001057,1,1000003,1,109
3000815,1,1000000,1,108
3001077,1,1000004,1,107
3002063,1,1000001,1,106
3000089,1,1000003,1,105
3000886,1,1000001,1,104
3002018,1,1000002,1,103
3001320,1,1000004,1,99
3000122,1,1000002,1,99
3002020,1,1000002,1,98
3001345,1,1000000,1,97
3000216,1,1000002,1,97
3000086,1,1000000,1,97
3000039,1,1000002,1,96
3000304,1,1000002,1,95
3000970,1,1000000,1,91
3000571,1,1000002,1,88
3001397,1,1000002,1,85
3000570,1,1000003,1,84
3001268,1,1000002,1,84
3001272,1,1000003,1,83
3000626,1,1000002,1,82
3001879,1,1000003,1,81
3000077,1,1000002,1,81
3000419,1,1000001,1,80
3000154,1,1000003,2,79
3000125,1,1000002,1,79
3001607,1,1000001,1,79
3000060,1,1000002,1,78
3001690,1,1000000,1,76
3001427,1,1000002,1,75
3001442,1,1000000,1,75
3000738,1,1000003,1,75
3000739,1,1000003,1,74
3001615,1,1000000,1,73
3001586,1,1000002,1,73
3001405,1,1000002,1,73
3001375,1,1000002,1,72
3000288,1,1000002,1,72
3000210,1,1000003,1,72
3000197,1,1000003,1,71
3000433,1,1000001,1,71
3000044,1,1000002,1,70
3001217,1,1000002,1,68
3000255,1,1000004,1,68
3000168,1,1000001,1,68
3001235,1,1000000,1,67
3000160,1,1000004,1,67
3000412,1,1000004,1,67
3000053,1,1000000,1,66
3001010,1,1000002,1,65
3000545,1,1000004,1,64
3001947,1,1000003,1,64
3000521,1,1000003,1,64
3000098,1,1000003,1,63
3001572,1,1000000,1,63
3000662,1,1000002,1,63
