,target,Method,GDT_TS Pearson,GDT_TS Spearman,GDT_TS Loss,GDT_TS MAE,Class,seq_len,identity_dist_category,identity_quality_category,positive_dist_category,positive_quality_category,coverage_dist_category
0,1AYZ_A,identity(%),0.4663580984975252,0.21218386945698306,4.380000000000006,0.4484506056644879,alpha + beta,153,multi top,Mid-high,multi top,High,the others
1,1AYZ_A,positive(%),0.5133094737097942,0.2574500210357086,2.7788888888888863,0.2366418823529412,alpha + beta,153,multi top,Mid-high,multi top,High,the others
2,1AYZ_A,coverage(%),0.23561803178850774,0.1671241559002364,0.6566666666666721,0.11355375163398693,alpha + beta,153,multi top,Mid-high,multi top,High,the others
3,1AYZ_A,DOPE,0.7799213077682181,0.6158859172454274,1.959999999999995,,alpha + beta,153,multi top,Mid-high,multi top,High,the others
4,1AYZ_A,SOAP,0.6933404769522726,0.45150134611241516,1.959999999999995,,alpha + beta,153,multi top,Mid-high,multi top,High,the others
5,1AYZ_A,ProQ3D,0.6826822644745754,0.5800261101745414,0.660000000000005,0.17869766666666667,alpha + beta,153,multi top,Mid-high,multi top,High,the others
6,1AYZ_A,SBROD,0.6574504650789614,0.448027944177711,10.950000000000005,,alpha + beta,153,multi top,Mid-high,multi top,High,the others
7,1AYZ_A,DeepAccNet,0.711507385679034,0.5277148190427763,0.32999999999999696,0.21797865364583335,alpha + beta,153,multi top,Mid-high,multi top,High,the others
8,1AYZ_A,DeepAccNet-Bert,0.7599115567577616,0.601420015450305,0.32999999999999696,0.23188490364583336,alpha + beta,153,multi top,Mid-high,multi top,High,the others
9,1AYZ_A,P3CMQA,0.8929872954278375,0.7699249793901273,0.17000000000000348,0.06487354834238689,alpha + beta,153,multi top,Mid-high,multi top,High,the others
10,1AZ5_A,identity(%),0.6011100710316757,0.25723876733000606,0.40000000000000036,0.3784306599326599,All beta,99,multi top,High,multi top,High,the others
11,1AZ5_A,positive(%),0.6000278606172439,0.2374632958875697,0.40000000000000036,0.18238129966329966,All beta,99,multi top,High,multi top,High,the others
12,1AZ5_A,coverage(%),,,5.493533333333334,0.09483533333333334,All beta,99,multi top,High,multi top,High,the others
13,1AZ5_A,DOPE,0.375920552147623,0.22833359237900805,0.0,,All beta,99,multi top,High,multi top,High,the others
14,1AZ5_A,SOAP,0.2105972823755765,0.04302440374737624,0.0,,All beta,99,multi top,High,multi top,High,the others
15,1AZ5_A,ProQ3D,-0.2850453645595169,-0.18071351618358333,3.71999999999999,0.22450730666666668,All beta,99,multi top,High,multi top,High,the others
16,1AZ5_A,SBROD,-0.16293466904636522,-0.21141900389041526,7.979999999999999,,All beta,99,multi top,High,multi top,High,the others
17,1AZ5_A,DeepAccNet,0.4650261158849585,0.34459072579240996,0.40000000000000036,0.2864927916666667,All beta,99,multi top,High,multi top,High,the others
18,1AZ5_A,DeepAccNet-Bert,0.3820274240866534,0.22134938996080303,0.5299999999999971,0.29187039583333335,All beta,99,multi top,High,multi top,High,the others
19,1AZ5_A,P3CMQA,0.18715824947364332,0.16003892501110886,5.85,0.09386094142405192,All beta,99,multi top,High,multi top,High,the others
20,1BQU_A,identity(%),0.7483620245171175,0.4312551588023608,1.7699999999999938,0.3327264927536231,All beta,115,multi top,High,multi top,High,the others
21,1BQU_A,positive(%),0.7895274153523903,0.6629996855250034,1.7699999999999938,0.1904841739130435,All beta,115,multi top,High,multi top,High,the others
22,1BQU_A,coverage(%),0.289769583960165,0.24319282594548905,25.983999999999995,0.24912185507246376,All beta,115,multi top,High,multi top,High,the others
23,1BQU_A,DOPE,0.8438746987977173,0.7577490152619085,2.649999999999997,,All beta,115,multi top,High,multi top,High,the others
24,1BQU_A,SOAP,0.6778684276557078,0.5684193341186374,0.6599999999999939,,All beta,115,multi top,High,multi top,High,the others
25,1BQU_A,ProQ3D,0.7792420571294529,0.7145521734851057,1.1099999999999999,0.059311493333333326,All beta,115,multi top,High,multi top,High,the others
26,1BQU_A,SBROD,0.8660500958004216,0.8086637833382562,1.5499999999999958,,All beta,115,multi top,High,multi top,High,the others
27,1BQU_A,DeepAccNet,0.8728922209716329,0.7636867355716261,1.5499999999999958,0.18250098958333333,All beta,115,multi top,High,multi top,High,the others
28,1BQU_A,DeepAccNet-Bert,0.9523574175233037,0.9254063646495387,1.5499999999999958,0.12474220052083332,All beta,115,multi top,High,multi top,High,the others
29,1BQU_A,P3CMQA,0.9319701197556789,0.9349629908115973,1.7699999999999938,0.0555248735332489,All beta,115,multi top,High,multi top,High,the others
30,1DE4_A,identity(%),-0.03194492120794066,0.03573163505343776,5.638571428571426,0.3906100299625468,alpha + beta,178,the others,Low,the others,Low,the others
