,DeepAccNet,DeepAccNet-Bert
2XXG_A_1KYA_A_3_1,0.251708984375,0.27685546875
2XXG_A_2H5U_A_3_1,0.26611328125,0.294189453125
2XXG_A_6WCN_A_2_2,0.3330078125,0.313232421875
2XXG_A_3X1B_A_3_4,0.279296875,0.289306640625
2XXG_A_1L9Q_A_2_4,0.81982421875,0.76953125
2XXG_A_6H5Y_A_3_3,0.259521484375,0.2734375
2XXG_A_5I6L_A_2_1,0.8466796875,0.75244140625
2XXG_A_5I6L_A_1_3,0.87939453125,0.77685546875
2XXG_A_3X1B_A_3_5,0.282958984375,0.285888671875
2XXG_A_1KYA_A_3_5,0.251220703125,0.27685546875
2XXG_A_6H5Y_A_3_4,0.276123046875,0.28076171875
2XXG_A_2H5U_A_3_3,0.2841796875,0.2939453125
2XXG_A_5NQ7_A_3_4,0.265380859375,0.279296875
2XXG_A_5LDU_A_3_1,0.2467041015625,0.2783203125
2XXG_A_5NQ8_A_3_3,0.260986328125,0.2763671875
2XXG_A_1GYC_A_3_2,0.2724609375,0.290283203125
2XXG_A_5LDU_A_3_2,0.2392578125,0.266845703125
2XXG_A_5NQ8_A_3_2,0.271728515625,0.273681640625
2XXG_A_1L9O_A_3_5,0.8125,0.75244140625
2XXG_A_5NQ7_A_3_1,0.28271484375,0.28125
2XXG_A_3ZX1_A_2_2,0.3115234375,0.303466796875
2XXG_A_1KYA_A_3_3,0.256103515625,0.27978515625
2XXG_A_1L9R_A_2_1,0.802734375,0.75
2XXG_A_1KYA_A_3_4,0.250732421875,0.27490234375
2XXG_A_1RZP_A_1_3,0.85107421875,0.78173828125
2XXG_A_3X1B_A_3_1,0.267822265625,0.286865234375
2XXG_A_3ZX1_A_2_4,0.30517578125,0.294921875
2XXG_A_1KYA_A_3_2,0.254638671875,0.28564453125
2XXG_A_5NQ7_A_3_2,0.26953125,0.27392578125
2XXG_A_6WCN_A_2_4,0.33203125,0.315673828125
2XXG_A_1GYC_A_3_5,0.25634765625,0.29248046875
2XXG_A_3X1B_A_3_2,0.296142578125,0.29296875
2XXG_A_3H56_A_3_4,0.8349609375,0.740234375
2XXG_A_1GYC_A_3_1,0.265380859375,0.28759765625
2XXG_A_2XYB_A_3_2,0.293701171875,0.31298828125
2XXG_A_6WCN_A_2_5,0.351318359375,0.3251953125
2XXG_A_3ZX1_A_2_5,0.25244140625,0.287841796875
2XXG_A_2H5U_A_3_2,0.26416015625,0.29345703125
2XXG_A_1GYC_A_3_3,0.2486572265625,0.28955078125
2XXG_A_3H4F_A_3_3,0.82177734375,0.7783203125
2XXG_A_6H5Y_A_3_1,0.25732421875,0.269287109375
2XXG_A_6WCN_A_2_3,0.314453125,0.304931640625
2XXG_A_1MZY_A_1_5,0.80859375,0.6884765625
2XXG_A_5NQ8_A_3_4,0.279296875,0.287109375
2XXG_A_5NQ8_A_3_5,0.25146484375,0.2841796875
2XXG_A_1RZP_A_1_2,0.798828125,0.74462890625
2XXG_A_5LDU_A_3_3,0.229736328125,0.26806640625
2XXG_A_3ZX1_A_2_1,0.272705078125,0.29296875
2XXG_A_5LDU_A_3_4,0.2459716796875,0.2724609375
2XXG_A_5NQ7_A_3_3,0.27685546875,0.2841796875
2XXG_A_6H5Y_A_3_5,0.251708984375,0.273681640625
2XXG_A_6WCN_A_2_1,0.3232421875,0.321533203125
2XXG_A_5NQ8_A_3_1,0.26025390625,0.27587890625
2XXG_A_2H5U_A_3_5,0.246826171875,0.2919921875
2XXG_A_6H5Y_A_3_2,0.259033203125,0.27880859375
2XXG_A_3X1B_A_3_3,0.27392578125,0.284423828125
2XXG_A_2XYB_A_3_3,0.28662109375,0.30810546875
2XXG_A_5NQ7_A_3_5,0.2802734375,0.27978515625
2XXG_A_2XYB_A_3_5,0.295166015625,0.30517578125
2XXG_A_3ZX1_A_2_3,0.2861328125,0.295654296875
2XXG_A_2H5U_A_3_4,0.25048828125,0.28271484375
2XXG_A_5LDU_A_3_5,0.258544921875,0.275146484375
2XXG_A_1NDR_A_1_3,0.4638671875,0.46240234375
2XXG_A_1GYC_A_3_4,0.27587890625,0.292236328125
3V4C_A_3IWJ_A_3_1,0.310791015625,0.39306640625
3V4C_A_1BXS_A_3_4,0.3310546875,0.3896484375
3V4C_A_4V37_A_2_4,0.318603515625,0.37109375
3V4C_A_1A4Z_A_2_4,0.318115234375,0.38916015625
3V4C_A_4KNA_A_1_1,0.31396484375,0.31005859375
3V4C_A_6VWF_A_3_3,0.275146484375,0.348876953125
3V4C_A_2WME_A_3_5,0.30517578125,0.375732421875
3V4C_A_1EYY_A_2_3,0.611328125,0.61279296875
3V4C_A_4NEA_A_2_3,0.310546875,0.3681640625
3V4C_A_4I9B_A_3_1,0.33544921875,0.39892578125
3V4C_A_4A0M_A_1_1,0.25634765625,0.3349609375
3V4C_A_3JZ4_C_1_2,0.28662109375,0.347900390625
3V4C_A_4I8P_A_2_4,0.305908203125,0.3603515625
3V4C_A_5ABM_A_3_2,0.340576171875,0.394287109375
3V4C_A_4PZ2_A_2_1,0.32763671875,0.403076171875
3V4C_A_3TY7_A_1_5,0.26123046875,0.33544921875
3V4C_A_4DAL_A_1_2,0.231201171875,0.27880859375
3V4C_A_4DAL_A_1_4,0.2568359375,0.2861328125
3V4C_A_1A4S_A_3_3,0.300048828125,0.372802734375
3V4C_A_4WJ9_A_3_4,0.347412109375,0.396484375
3V4C_A_3IWK_A_3_4,0.331787109375,0.395751953125
3V4C_A_4X2Q_A_3_5,0.301025390625,0.374755859375
3V4C_A_4O6R_A_2_2,0.32275390625,0.403564453125
3V4C_A_4A0M_A_1_4,0.25048828125,0.330078125
3V4C_A_4V3F_C_2_1,0.29443359375,0.354736328125
3V4C_A_6S6W_A_2_4,0.2822265625,0.36767578125
3V4C_A_1A4S_A_3_2,0.2978515625,0.370849609375
3V4C_A_4WJ9_A_2_1,0.33203125,0.385986328125
3V4C_A_4PXL_B_3_1,0.31689453125,0.375
3V4C_A_4MPB_A_2_3,0.334228515625,0.37255859375
3V4C_A_4A0M_A_2_5,0.299072265625,0.352783203125
3V4C_A_5U0L_A_1_4,0.373046875,0.392578125
3V4C_A_4QYJ_A_3_5,0.288818359375,0.368896484375
3V4C_A_1BI9_A_3_5,0.31884765625,0.378173828125
3V4C_A_4MPB_A_2_5,0.297607421875,0.3583984375
3V4C_A_6ALJ_A_3_3,0.355224609375,0.390869140625
3V4C_A_4QYJ_A_3_4,0.30615234375,0.386474609375
3V4C_A_3TY7_A_1_3,0.234375,0.3232421875
3V4C_A_1O9J_A_2_2,0.306396484375,0.373291015625
3V4C_A_5GTK_A_3_1,0.337646484375,0.397216796875
3V4C_A_5A2D_A_2_4,0.307373046875,0.358154296875
3V4C_A_4WJ9_A_3_1,0.332763671875,0.395263671875
3V4C_A_4WB9_A_2_4,0.330322265625,0.398681640625
3V4C_A_4PXL_B_3_3,0.33251953125,0.37939453125
3V4C_A_4I9B_A_3_3,0.32666015625,0.393798828125
3V4C_A_1BXS_A_3_1,0.315673828125,0.39453125
3V4C_A_5L2M_A_3_5,0.333740234375,0.38525390625
3V4C_A_3IWJ_A_3_3,0.31298828125,0.394287109375
3V4C_A_1A4Z_A_2_2,0.301025390625,0.392333984375
3V4C_A_4A0M_A_2_4,0.29833984375,0.3583984375
3V4C_A_3IWJ_A_3_2,0.319091796875,0.389892578125
3V4C_A_4GO3_A_3_2,0.350830078125,0.410888671875
3V4C_A_1EYY_A_1_1,0.5859375,0.59326171875
3V4C_A_4A0M_A_2_1,0.31005859375,0.36474609375
3V4C_A_6ALJ_A_3_4,0.325927734375,0.395751953125
3V4C_A_4GO3_A_3_4,0.334228515625,0.419189453125
3V4C_A_4A0M_A_2_2,0.28076171875,0.343994140625
3V4C_A_4WB9_A_2_5,0.3154296875,0.39013671875
3V4C_A_6ALJ_A_3_2,0.34033203125,0.40380859375
3V4C_A_4DAL_A_1_1,0.24609375,0.283935546875
3V4C_A_5ABM_A_3_4,0.341796875,0.3916015625
3V4C_A_5X5T_A_1_3,0.22705078125,0.2232666015625
3V4C_A_3TY7_A_1_1,0.2469482421875,0.328125
3V4C_A_6ALJ_A_2_3,0.325927734375,0.389404296875
3V4C_A_1O9J_A_2_5,0.330078125,0.372802734375
3V4C_A_1EYY_A_2_5,0.6005859375,0.6083984375
3V4C_A_4WB9_A_2_2,0.29833984375,0.385009765625
3V4C_A_4WB9_A_3_2,0.327880859375,0.391845703125
3V4C_A_1EYY_A_1_4,0.6015625,0.60546875
3V4C_A_6S6W_A_3_1,0.298583984375,0.379150390625
3V4C_A_4QYJ_A_3_2,0.3056640625,0.387939453125
3V4C_A_5L2M_A_3_1,0.316162109375,0.387451171875
3V4C_A_1CW3_A_2_4,0.306884765625,0.37255859375
3V4C_A_4WB9_A_2_1,0.30859375,0.379638671875
3V4C_A_3TY7_A_1_4,0.2440185546875,0.336181640625
3V4C_A_5U0L_A_1_3,0.362060546875,0.3994140625
3V4C_A_4V3F_C_2_2,0.30419921875,0.36083984375
3V4C_A_6S6W_A_2_2,0.28955078125,0.37744140625
3V4C_A_1EYY_A_1_5,0.59423828125,0.61865234375
3V4C_A_3JZ4_C_1_5,0.26806640625,0.33056640625
3V4C_A_4PXL_B_3_5,0.3232421875,0.37890625
3V4C_A_5ABM_A_3_1,0.325927734375,0.3955078125
3V4C_A_4WB9_A_3_5,0.322265625,0.388427734375
3V4C_A_1A4S_A_3_4,0.310546875,0.373291015625
3V4C_A_5U0L_A_1_5,0.36181640625,0.403076171875
3V4C_A_1CW3_A_2_5,0.325439453125,0.388427734375
3V4C_A_1A4Z_A_2_3,0.3017578125,0.3798828125
3V4C_A_4WB9_A_3_3,0.3349609375,0.38330078125
3V4C_A_4WJ9_A_3_2,0.344970703125,0.402099609375
3V4C_A_3JZ4_C_1_1,0.271484375,0.3349609375
3V4C_A_1EYY_A_1_3,0.61279296875,0.611328125
3V4C_A_4GO3_A_3_5,0.343017578125,0.41259765625
3V4C_A_4WJ9_A_2_2,0.323974609375,0.39404296875
3V4C_A_4V37_A_2_1,0.30810546875,0.359375
3V4C_A_5GTK_A_3_5,0.324951171875,0.38916015625
3V4C_A_4PZ2_A_2_4,0.3251953125,0.3974609375
3V4C_A_4V3F_C_2_5,0.306884765625,0.35498046875
3V4C_A_5X5T_A_1_4,0.2442626953125,0.2244873046875
