,DeepAccNet,DeepAccNet-Bert
6K9F_B_4IRL_A_2_3,0.49951171875,0.5126953125
6K9F_B_2KN6_A_3_5,0.42041015625,0.469970703125
6K9F_B_6KI0_A_3_4,0.49462890625,0.453857421875
6K9F_B_5GPQ_A_2_5,0.4716796875,0.45068359375
6K9F_B_1CWW_A_3_5,0.364501953125,0.41357421875
6K9F_B_5FNA_A_2_2,0.37841796875,0.435302734375
6K9F_B_6MKS_A_1_2,0.58154296875,0.537109375
6K9F_B_5H8O_B_3_1,0.37353515625,0.436767578125
6K9F_B_6J52_A_2_5,0.319580078125,0.421630859375
6K9F_B_6MKS_A_1_5,0.51611328125,0.50146484375
6K9F_B_6MKS_A_1_4,0.53515625,0.52294921875
6K9F_B_6K7V_A_2_3,0.46044921875,0.440185546875
6K9F_B_7KEU_A_3_1,0.46240234375,0.46337890625
6K9F_B_6K8J_A_2_2,0.478515625,0.484619140625
6K9F_B_5GPQ_A_2_4,0.452880859375,0.443359375
6K9F_B_6GFJ_A_2_5,0.490966796875,0.477294921875
6K9F_B_6K8J_A_1_2,0.395263671875,0.460693359375
6K9F_B_2KN6_A_3_4,0.41064453125,0.452880859375
6K9F_B_5FNA_A_2_1,0.37353515625,0.43408203125
6K9F_B_7KEU_A_2_2,0.45751953125,0.4501953125
6K9F_B_6N1I_A_2_3,0.4912109375,0.483642578125
6K9F_B_4IRL_A_2_4,0.49169921875,0.49169921875
6K9F_B_6N1I_A_2_2,0.4873046875,0.5087890625
6K9F_B_5H8O_B_3_2,0.35888671875,0.433349609375
6K9F_B_6GFJ_A_2_1,0.4501953125,0.4677734375
6K9F_B_2DBD_A_2_3,0.42138671875,0.448486328125
6K9F_B_6K99_A_3_5,0.42333984375,0.4404296875
6K9F_B_6N1I_A_2_5,0.47900390625,0.5029296875
6K9F_B_5FNA_A_1_4,0.3408203125,0.42333984375
6K9F_B_4IFP_A_2_3,0.52783203125,0.4892578125
6K9F_B_4IRL_A_2_1,0.51806640625,0.498046875
6K9F_B_6K7V_A_3_4,0.448486328125,0.44482421875
6K9F_B_2KN6_A_3_1,0.38671875,0.45068359375
6K9F_B_6K7V_A_3_5,0.443115234375,0.457763671875
6K9F_B_7KEU_A_3_2,0.43408203125,0.455810546875
6K9F_B_5FNA_A_1_3,0.316650390625,0.391357421875
6K9F_B_1CWW_A_3_1,0.320556640625,0.37939453125
6K9F_B_6MKS_A_1_1,0.5478515625,0.52392578125
6K9F_B_6K7V_A_2_5,0.462646484375,0.446533203125
6K9F_B_6KI0_A_3_5,0.49169921875,0.459716796875
6K9F_B_5FNA_A_2_5,0.38427734375,0.444091796875
6K9F_B_2KN6_A_3_2,0.403564453125,0.45947265625
6K9F_B_6K99_A_3_4,0.4404296875,0.4462890625
6K9F_B_5FNA_A_2_4,0.373779296875,0.428955078125
6K9F_B_5GPQ_A_2_2,0.478515625,0.479248046875
6K9F_B_2DBD_A_2_5,0.424072265625,0.453369140625
6K9F_B_6K7V_A_2_2,0.43896484375,0.443603515625
6K9F_B_7KEU_E_1_3,0.387451171875,0.425048828125
6K9F_B_6K7V_A_3_3,0.461669921875,0.44580078125
6K9F_B_7KEU_E_1_5,0.352783203125,0.433349609375
6K9F_B_4IRL_A_2_2,0.52587890625,0.5107421875
6K9F_B_6GFJ_A_2_3,0.435546875,0.451904296875
6K9F_B_4IRL_A_3_5,0.5458984375,0.5
6K9F_B_6GFJ_A_2_4,0.463134765625,0.462890625
6K9F_B_5GPQ_A_2_3,0.44970703125,0.45703125
6K9F_B_6J52_A_2_4,0.3076171875,0.447509765625
6K9F_B_2DBD_A_3_3,0.431640625,0.4609375
6K9F_B_6K8J_A_2_3,0.51416015625,0.4853515625
6K9F_B_6N1I_A_1_2,0.440185546875,0.472900390625
6K9F_B_3T6P_A_3_5,0.499267578125,0.47900390625
6K9F_B_2KN6_A_2_2,0.42041015625,0.4619140625
6K9F_B_3T6P_A_2_2,0.56640625,0.5048828125
6K9F_B_7KEU_A_3_3,0.461181640625,0.4482421875
6K9F_B_6K8J_A_1_5,0.43603515625,0.458984375
6K9F_B_7KEU_A_1_3,0.429931640625,0.449951171875
6K9F_B_4IRL_A_3_2,0.52587890625,0.5107421875
6K9F_B_7KEU_A_2_4,0.422607421875,0.434814453125
6K9F_B_6GWM_A_2_2,0.41259765625,0.452392578125
6K9F_B_3T6P_A_3_4,0.51806640625,0.498291015625
6K9F_B_4IFP_A_3_3,0.5703125,0.50830078125
6K9F_B_5H8O_B_2_1,0.362548828125,0.431396484375
6K9F_B_3T6P_A_2_1,0.5517578125,0.49609375
6K9F_B_6K7V_A_3_2,0.4853515625,0.462646484375
6K9F_B_6K8J_A_2_5,0.513671875,0.493408203125
6K9F_B_6KI0_A_3_2,0.5341796875,0.47265625
6K9F_B_6KI0_A_2_3,0.533203125,0.49169921875
6K9F_B_3T6P_A_2_5,0.499267578125,0.47900390625
6K9F_B_6N1I_A_1_1,0.408447265625,0.460693359375
6K9F_B_1DGN_A_2_5,0.484130859375,0.498046875
6K9F_B_6GWM_A_2_5,0.393798828125,0.45166015625
6K9F_B_2DBD_A_3_1,0.404541015625,0.44287109375
6K9F_B_6N1I_A_2_4,0.471435546875,0.48681640625
6K9F_B_1CWW_A_3_4,0.39404296875,0.40283203125
6K9F_B_5H8O_B_3_5,0.344482421875,0.424072265625
6K9F_B_4IRL_A_3_4,0.49169921875,0.49169921875
6K9F_B_2DBD_A_3_5,0.435546875,0.44921875
6K9F_B_6KI0_A_2_5,0.54248046875,0.48876953125
6K9F_B_6K99_A_2_2,0.41455078125,0.438232421875
6K9F_B_2DBD_A_2_1,0.39501953125,0.448486328125
6K9F_B_6K8J_A_1_4,0.487548828125,0.467041015625
6K9F_B_4IFP_A_3_4,0.54296875,0.51171875
6K9F_B_6J52_A_2_3,0.31884765625,0.412109375
6K9F_B_2KN6_A_2_3,0.439697265625,0.4638671875
6K9F_B_6N1I_A_2_1,0.485107421875,0.495361328125
6K9F_B_5FNA_A_1_1,0.3330078125,0.392822265625
6K9F_B_6K7V_A_3_1,0.46728515625,0.447021484375
6K9F_B_7KEU_A_1_4,0.39892578125,0.431884765625
6K9F_B_4IFP_A_2_1,0.53955078125,0.486328125
6K9F_B_6N1I_A_1_4,0.44482421875,0.468505859375
6K9F_B_6K99_A_2_4,0.460693359375,0.459228515625
6K9F_B_1DGN_A_2_4,0.475341796875,0.4814453125
6K9F_B_3T6P_A_3_1,0.5517578125,0.49609375
6K9F_B_6KI0_A_3_1,0.52734375,0.4677734375
6K9F_B_7KEU_A_2_5,0.426513671875,0.443359375
6K9F_B_2KN6_A_2_4,0.41650390625,0.457275390625
6K9F_B_6GWM_A_2_4,0.401123046875,0.449951171875
6K9F_B_1CWW_A_3_3,0.35009765625,0.39208984375
6K9F_B_2KN6_A_2_1,0.425537109375,0.46875
6K9F_B_6KI0_A_2_4,0.5380859375,0.488525390625
6K9F_B_6K99_A_3_2,0.457275390625,0.456787109375
6K9F_B_6N1I_A_1_5,0.406982421875,0.462158203125
6K9F_B_6K99_A_1_5,0.39794921875,0.4306640625
6K9F_B_3T6P_A_3_2,0.56640625,0.5048828125
6K9F_B_5H8O_B_2_4,0.37451171875,0.435302734375
6K9F_B_2DBD_A_3_2,0.436279296875,0.455322265625
6K9F_B_6K99_A_1_4,0.446533203125,0.447998046875
6K9F_B_2DBD_A_2_4,0.4169921875,0.4453125
6K9F_B_5H8O_B_2_5,0.351806640625,0.427734375
6K9F_B_7KEU_A_2_1,0.44921875,0.455810546875
6K9F_B_6GFJ_A_2_2,0.439697265625,0.44677734375
6K9F_B_4IRL_A_2_5,0.5458984375,0.5
6K9F_B_5H8O_B_3_3,0.362548828125,0.43603515625
6K9F_B_6K8J_A_1_1,0.411376953125,0.457275390625
6K9F_B_1DGN_A_2_2,0.47509765625,0.480224609375
6K9F_B_6J52_A_2_2,0.32470703125,0.442626953125
6K9F_B_4IFP_A_3_2,0.54052734375,0.490966796875
6K9F_B_6K99_A_1_3,0.421630859375,0.432861328125
6K9F_B_4IRL_A_3_1,0.51806640625,0.498046875
6K9F_B_2DBD_A_2_2,0.423828125,0.4423828125
6K9F_B_6K99_A_3_3,0.459228515625,0.45849609375
6K9F_B_7KEU_A_3_5,0.45068359375,0.44677734375
6K9F_B_7KEU_E_1_4,0.363525390625,0.4306640625
6K9F_B_3T6P_A_3_3,0.5263671875,0.5126953125
6K9F_B_7KEU_A_1_5,0.381103515625,0.433349609375
6K9F_B_6K7V_A_2_1,0.4267578125,0.442138671875
6K9F_B_5H8O_B_2_2,0.349609375,0.436767578125
6K9F_B_1DGN_A_2_3,0.48291015625,0.489990234375
6K9F_B_6K99_A_1_2,0.4111328125,0.43310546875
6K9F_B_3T6P_A_2_3,0.5263671875,0.5126953125
6K9F_B_1CWW_A_3_2,0.345703125,0.405517578125
6K9F_B_2DBD_A_3_4,0.434326171875,0.453369140625
6K9F_B_7KEU_E_1_2,0.379150390625,0.429931640625
6K9F_B_5FNA_A_2_3,0.36474609375,0.42041015625
6K9F_B_7KEU_A_1_1,0.449462890625,0.432373046875
6K9F_B_5H8O_B_3_4,0.37060546875,0.438232421875
6K9F_B_6KI0_A_3_3,0.478759765625,0.448486328125
6K9F_B_4IFP_A_2_4,0.5146484375,0.50244140625
6K9F_B_2KN6_A_3_3,0.422119140625,0.46435546875
6K9F_B_7KEU_A_2_3,0.43896484375,0.442626953125
6K9F_B_4IFP_A_2_5,0.54541015625,0.50537109375
3O1D_A_1DB1_A_2_4,0.53662109375,0.51708984375
3O1D_A_1NAV_A_3_1,0.369384765625,0.40673828125
3O1D_A_1NAV_A_3_2,0.344970703125,0.38427734375
3O1D_A_1NAV_A_3_3,0.35009765625,0.3876953125
3O1D_A_1NAV_A_3_5,0.349365234375,0.391845703125
3O1D_A_1OT7_A_1_1,0.330810546875,0.3134765625
3O1D_A_1OT7_A_1_2,0.283935546875,0.312255859375
3O1D_A_1OT7_A_1_4,0.3173828125,0.321044921875
3O1D_A_1OT7_A_1_5,0.2998046875,0.308837890625
3O1D_A_1Q4X_A_2_1,0.336181640625,0.358642578125
3O1D_A_1Q4X_A_2_2,0.318359375,0.3232421875
3O1D_A_1Q4X_A_2_3,0.348876953125,0.350830078125
3O1D_A_1Q4X_A_2_4,0.344970703125,0.349365234375
3O1D_A_1Q4X_A_2_5,0.35400390625,0.356689453125
3O1D_A_1R1K_D_2_1,0.32470703125,0.39990234375
3O1D_A_1R1K_D_2_2,0.341064453125,0.404052734375
3O1D_A_1R1K_D_2_3,0.322509765625,0.395263671875
3O1D_A_1R1K_D_2_5,0.330078125,0.407958984375
3O1D_A_1S0Z_A_2_2,0.57275390625,
3O1D_A_1UHL_B_1_1,0.336181640625,0.415283203125
3O1D_A_1UHL_B_1_3,0.3330078125,0.41015625
3O1D_A_1UHL_B_1_4,0.338134765625,0.4052734375
3O1D_A_1UHL_B_1_5,0.311279296875,0.388916015625
3O1D_A_1XIU_A_3_1,0.303955078125,0.3662109375
3O1D_A_1XIU_A_3_2,0.310546875,0.36767578125
3O1D_A_1XIU_A_3_3,0.3203125,0.38818359375
3O1D_A_1XIU_A_3_4,0.323486328125,0.370849609375
3O1D_A_1XLS_E_1_1,0.3642578125,0.359619140625
3O1D_A_1XLS_E_1_2,0.3408203125,0.343994140625
3O1D_A_1XLS_E_1_3,0.373779296875,0.361572265625
3O1D_A_1XLS_E_1_4,0.357177734375,0.350341796875
3O1D_A_1XLS_E_1_5,0.353515625,0.354736328125
3O1D_A_1XV9_B_1_1,0.384765625,0.399169921875
3O1D_A_1XV9_B_1_2,0.389892578125,0.40673828125
3O1D_A_1XV9_B_1_3,0.365234375,0.406005859375
3O1D_A_1XV9_B_1_4,0.399169921875,0.397705078125
3O1D_A_1XV9_B_1_5,0.370361328125,0.393798828125
3O1D_A_1Z5X_E_3_2,0.33740234375,0.403564453125
3O1D_A_1Z5X_E_3_3,0.35888671875,0.42626953125
3O1D_A_1Z5X_E_3_4,0.36328125,0.4228515625
3O1D_A_1Z5X_E_3_5,0.332763671875,0.38916015625
3O1D_A_1Z5X_U_3_1,0.304443359375,0.3134765625
