,Target,SeqLength,IDs,Exptl.,resolution,R-factor,FreeRvalue,PDB_ID,Chain,DomainNum
0,1FHU_A,320,1FHUA,XRAY,1.65,0.2,0.27,1FHU,A,2
1,1GU7_A,364,1GU7A,XRAY,1.7,0.17,0.19,1GU7,A,2
2,1HM9_B,468,1HM9B,XRAY,1.75,0.18,0.22,1HM9,B,2
3,1K5N_A,276,1K5NA,XRAY,1.09,0.12,0.15,1K5N,A,2
4,1L3K_A,196,1L3KA,XRAY,1.1,0.16,0.19,1L3K,A,2
5,1LC5_A,364,1LC5A,XRAY,1.46,0.19,0.21,1LC5,A,2
6,1R6D_A,337,1R6DA,XRAY,1.35,0.18,0.22,1R6D,A,2
7,1RKX_A,357,1RKXA,XRAY,1.8,0.23,0.27,1RKX,A,2
8,1SVS_A,353,1SVSA,XRAY,1.5,0.2,0.21,1SVS,A,2
9,1VI0_A,206,1VI0A,XRAY,1.65,0.23,0.28,1VI0,A,2
10,1X8B_A,289,1X8BA,XRAY,1.81,0.22,0.24,1X8B,A,2
11,1YQD_A,366,1YQDA,XRAY,1.65,0.2,0.21,1YQD,A,2
12,1ZAR_A,282,1ZARA,XRAY,1.75,0.18,0.22,1ZAR,A,3
13,2BHU_A,602,2BHUA,XRAY,1.1,0.13,0.16,2BHU,A,3
14,2CDC_B,366,2CDCB,XRAY,1.5,0.21,0.24,2CDC,B,2
15,2DKJ_A,407,2DKJA,XRAY,1.15,0.18,0.19,2DKJ,A,2
16,2HEU_A,401,2HEUA,XRAY,1.04,0.13,0.16,2HEU,A,2
17,2IBD_A,204,2IBDA,XRAY,1.5,0.17,0.2,2IBD,A,2
18,2IZR_A,330,2IZRA,XRAY,1.3,0.13,0.16,2IZR,A,2
19,2JHF_B,374,2JHFB,XRAY,1.0,0.12,0.15,2JHF,B,2
20,2W8T_A,427,2W8TA,XRAY,1.25,0.15,0.17,2W8T,A,2
21,2WSD_A,513,2WSDA,XRAY,1.6,0.18,0.19,2WSD,A,3
22,2XXG_A,336,2XXGA,XRAY,1.6,0.17,0.21,2XXG,A,2
23,3A09_A,490,3A09A,XRAY,1.4,0.13,0.21,3A09,A,2
24,3AJ7_A,589,3AJ7A,XRAY,1.3,0.17,0.19,3AJ7,A,3
25,3AML_A,755,3AMLA,XRAY,1.7,0.15,0.2,3AML,A,3
26,3DK9_A,478,3DK9A,XRAY,0.95,0.12,0.15,3DK9,A,3
27,3G7Q_A,417,3G7QA,XRAY,1.8,0.18,0.2,3G7Q,A,2
28,3IJL_A,338,3IJLA,XRAY,1.5,0.19,0.2,3IJL,A,2
29,3K6Y_A,237,3K6YA,XRAY,1.3,0.17,0.2,3K6Y,A,2
30,3KGW_A,393,3KGWA,XRAY,1.65,0.17,0.2,3KGW,A,2
31,3KLK_A,1039,3KLKA,XRAY,1.65,0.17,0.2,3KLK,A,3
