,Model,Target,identity(%),positive(%),coverage(%),identity(-misres)(%),positive(-misres)(%),coverage(-misres)(%),DOPE,SOAP,SBROD,ProQ2D,ProQRosCenD,ProQRosFAD,ProQ3D,P3CMQA,DeepAccNet,DeepAccNet-Bert
0,1AYZ_A_3OJ4_A_2_1,1AYZ_A,0.3594771241830065,0.5816993464052288,0.9477124183006536,0.3594771241830065,0.5816993464052288,0.9477124183006536,16173.4306640625,87773.640625,1.49552658471,0.591618,0.747641,0.885566,0.6753170000000001,0.9363383650779724,0.7041015625,0.66455078125
1,1AYZ_A_4L83_A_3_3,1AYZ_A,0.32679738562091504,0.5359477124183006,0.9803921568627452,0.3202614379084967,0.5294117647058824,0.9738562091503268,16108.171875,79806.3671875,1.5022820251,0.606539,0.733494,0.887827,0.72059,0.9313939809799194,0.61083984375,0.625
2,1AYZ_A_6TTU_D_1_5,1AYZ_A,0.3660130718954248,0.5882352941176471,0.934640522875817,0.3660130718954248,0.5882352941176471,0.934640522875817,15592.9189453125,75800.3984375,1.46329870232,0.554405,0.671385,0.809858,0.622128,0.8706691265106201,0.57373046875,0.56396484375
3,1AYZ_A_4GPR_A_1_1,1AYZ_A,0.3594771241830065,0.5816993464052288,0.9084967320261438,0.3594771241830065,0.5816993464052288,0.9084967320261438,15673.7490234375,81208.0625,1.47520001771,0.5120520000000001,0.565673,0.809407,0.580779,0.8604734539985657,0.66845703125,0.62158203125
4,1AYZ_A_1TTE_A_3_5,1AYZ_A,0.2875816993464052,0.5163398692810458,0.9738562091503268,0.2875816993464052,0.5163398692810458,0.9738562091503268,13570.4033203125,34812.890625,1.4037037979499998,0.5090979999999999,0.53732,0.658117,0.510243,0.4995601773262024,0.326171875,0.40869140625
5,1AYZ_A_6GUM_A_3_4,1AYZ_A,0.4117647058823529,0.5228758169934641,0.9607843137254902,0.40522875816993453,0.5163398692810458,0.954248366013072,16160.9052734375,88234.2109375,1.4944615401399999,0.589709,0.728477,0.8794870000000001,0.715815,0.9179717302322388,0.6298828125,0.64013671875
6,1AYZ_A_2AYV_A_2_2,1AYZ_A,0.3660130718954248,0.5751633986928104,0.9411764705882352,0.3660130718954248,0.5751633986928104,0.9411764705882352,15962.294921875,85423.0390625,1.51285516402,0.615174,0.781485,0.895503,0.702229,0.93134343624115,0.681640625,0.6435546875
7,1AYZ_A_3E95_A_3_5,1AYZ_A,0.3464052287581699,0.6013071895424836,0.9607843137254902,0.3464052287581699,0.5882352941176471,0.954248366013072,15599.6728515625,68215.5390625,1.50339707815,0.587335,0.7368779999999999,0.8588180000000001,0.69401,0.8709700703620911,0.5615234375,0.5810546875
8,1AYZ_A_6OP8_A_2_4,1AYZ_A,0.3660130718954248,0.5816993464052288,0.9477124183006536,0.3660130718954248,0.5816993464052288,0.9477124183006536,16111.6435546875,82254.109375,1.4983765497100001,0.606108,0.731871,0.887,0.706037,0.930651307106018,0.70947265625,0.65234375
9,1AYZ_A_3E95_A_3_1,1AYZ_A,0.3464052287581699,0.6013071895424836,0.9607843137254902,0.3464052287581699,0.5882352941176471,0.954248366013072,15746.5419921875,64768.09765625,1.50838849357,0.567329,0.71353,0.847,0.6514270000000001,0.8844161629676819,0.595703125,0.6103515625
10,1AYZ_A_2UCZ_A_1_5,1AYZ_A,0.392156862745098,0.6601307189542484,0.9607843137254902,0.392156862745098,0.6601307189542484,0.9607843137254902,15691.73828125,68988.1875,1.4849283254700003,0.545901,0.71831,0.817766,0.641964,0.8784337043762207,0.63037109375,0.5947265625
11,1AYZ_A_1Z2U_A_2_3,1AYZ_A,0.3660130718954248,0.5882352941176471,0.9607843137254902,0.3660130718954248,0.5882352941176471,0.9607843137254902,16193.94140625,85809.1484375,1.51615355307,0.5367529999999999,0.738266,0.859949,0.6360939999999999,0.9314597845077516,0.677734375,0.64404296875
12,1AYZ_A_4II2_C_1_4,1AYZ_A,0.38562091503267976,0.5751633986928104,0.934640522875817,0.38562091503267976,0.5751633986928104,0.934640522875817,15925.28515625,81238.6484375,1.47901332896,0.565368,0.716481,0.8282200000000001,0.6260020000000001,0.8784995675086975,0.6767578125,0.63330078125
13,1AYZ_A_5KHR_Q_3_1,1AYZ_A,0.4117647058823529,0.5490196078431373,0.9477124183006536,0.4117647058823529,0.5490196078431373,0.9411764705882352,13616.37890625,43256.87890625,1.44410613231,0.436457,0.5397489999999999,0.590026,0.42468500000000003,0.8037021160125732,0.398193359375,0.480712890625
