,Target,SeqLength,SF-DOMID,SF,len_SF,FA-DOMID,FA-PDBID,FA-PDBREG,FA-UNIID,FA-UNIREG,SF-PDBID,SF-PDBREG,SF-UNIID,SF-UNIREG,TP,CL,CF,FA,Class
0,1AYZ_A,153,8034819,3000570,84,8022439,1AYZ,A:2-154,P06104,2-154,1AYZ,A:2-154,P06104,2-154,1,1000003,2000386,4001046,alpha + beta
1,1AZ5_A,99,8072151,3001059,145,8072150,1AZ5,A:1-99,P05896,498-596,1AZ5,A:1-99,P05896,498-596,1,1000001,2000671,4002288,All beta
2,1BQU_A,115,8055533,3002063,106,8055532,1BQU,A:100-214,P40189,218-332,1BQU,A:100-214,P40189,218-332,1,1000001,2000051,4007555,All beta
3,1DE4_A,178,8034780,3000521,64,8022400,1DE4,A:4-181,Q30201,26-203,1DE4,A:4-181,Q30201,26-203,1,1000003,2000357,4001031,alpha + beta
4,1EA9_C,382,8038581,3000313,437,8026202,1EA9,C:122-503,1EA9_C,122-503,1EA9,C:122-503,1EA9_C,122-503,1,1000002,2000031,4003138,alpha / beta
5,1EXR_A,146,8037358,3001983,186,8024979,1EXR,A:2-147,P07463,3-148,1EXR,A:2-147,P07463,3-148,1,1000000,2000120,4000924,All alpha
6,1F2E_A,121,8037565,3000305,52,8025186,1F2E,A:81-201,O33705,81-201,1F2E,A:81-201,O33705,81-201,1,1000000,2000244,4000976,All alpha
7,1G4I_A,123,8032559,3001690,76,8020179,1G4I,A:1-123,P00593,23-145,1G4I,A:1-123,P00593,23-145,1,1000000,2001035,4001493,All alpha
8,1HAG_E,295,8042154,3000114,171,8029775,1HAG,E:1-247,P00734,328-622,1HAG,E:1-247,P00734,328-622,1,1000001,2000083,4000286,All beta
9,1HTA_A,68,8058010,3001387,126,8019061,1HTA,A:0-67,P48781,1-68,1HTA,A:0-67,P48781,1-68,1,1000000,2000114,4000795,All alpha
10,1HV5_A,161,8033331,3001975,116,8020951,1HV5,A:102-262,Q02853,102-262,1HV5,A:102-262,Q02853,102-262,1,1000003,2001207,4001637,alpha + beta
11,1I0D_A,331,8033495,3000428,110,8021115,1I0D,A:35-365,P0A434,35-365,1I0D,A:35-365,P0A434,35-365,1,1000002,2000031,4003212,alpha / beta
12,1I4K_A,72,8033644,3000419,80,8021264,1I4K,A:3-74,O29386,3-74,1I4K,A:3-74,O29386,3-74,1,1000001,2000308,4001809,All beta
13,1IFV_A,155,8063071,3000738,75,8063070,1IFV,A:1-155,P52779,2-156,1IFV,A:1-155,P52779,2-156,1,1000003,2000457,4002047,alpha + beta
14,1IRU_I,220,8079518,3000131,134,8079517,1IRU,I:1-220,Q2TBP0,44-263,1IRU,I:1-220,Q2TBP0,44-263,1,1000003,2000081,4002254,alpha + beta
15,1K28_A,216,8037749,3001879,81,8025370,1K28,A:130-345,P16009,130-345,1K28,A:130-345,P16009,130-345,1,1000003,2001149,4000895,alpha + beta
16,1KA9_F,251,8042729,3000216,97,8030350,1KA9,F:2-252,Q7SIB9,2-252,1KA9,F:2-252,Q7SIB9,2-252,1,1000002,2000031,4003056,alpha / beta
17,1KWF_A,363,8040674,3000970,91,8028295,1KWF,A:33-395,A3DC29,33-395,1KWF,A:33-395,A3DC29,33-395,1,1000000,2000619,4001168,All alpha
18,1OH0_A,125,8034008,3000472,127,8021628,1OH0,A:3-127,P07445,3-127,1OH0,A:3-127,P07445,3-127,1,1000003,2000326,4001023,alpha + beta
19,1OHE_A,182,8034018,3000304,95,8021638,1OHE,A:199-380,O60729,199-380,1OHE,A:199-380,O60729,199-380,1,1000002,2000246,4000437,alpha / beta
20,1OTJ_A,281,8037773,3001848,60,8025394,1OTJ,A:2-282,P37610,2-282,1OTJ,A:2-282,P37610,2-282,1,1000001,2000048,4002161,All beta
21,1QNI_A,131,8040585,3000886,104,8028206,1QNI,A:451-581,Q7SIA3,451-581,1QNI,A:451-581,Q7SIA3,451-581,1,1000001,2000557,4002857,All beta
22,1RE5_A,448,8038843,3001572,63,8026464,1RE5,A:3-450,Q88N37,3-450,1RE5,A:3-450,Q88N37,3-450,1,1000000,2000963,4001433,All alpha
23,1RHF_A,91,8054513,3000071,313,8054512,1RHF,A:7-97,Q06418,47-137,1RHF,A:7-97,Q06418,47-137,1,1000001,2000051,4007530,All beta
24,1RSY_A,126,8086451,3000965,62,8086450,1RSY,A:140-265,P21707,140-265,1RSY,A:140-265,P21707,140-265,1,1000001,2000614,4002234,All beta
25,1RT8_A,102,8051967,3000264,48,8051964,1RT8,A:254-368,O59945,254-368,1RT8,A:263-364,O59945,263-364,1,1000000,2000221,4004022,All alpha
26,1S3J_A,66,8054310,3000034,395,8054309,1S3J,A:3-145,O32181,3-145,1S3J,A:34-99,O32181,34-99,1,1000003,2000144,4000246,alpha + beta
27,1ST9_A,113,8057859,3000031,281,8057858,1ST9,A:37-173,P35160,38-174,1ST9,A:61-173,P35160,62-174,1,1000002,2000024,4000042,alpha / beta
28,1TW4_A,125,8042672,3001332,152,8030293,1TW4,A:1-125,P80226,2-126,1TW4,A:1-125,P80226,2-126,1,1000001,2000805,4002547,All beta
29,1UB7_A,172,8034884,3000122,99,8022504,1UB7,A:2-173,Q7SI99,2-173,1UB7,A:2-173,Q7SI99,2-173,1,1000002,2000091,4000864,alpha / beta
30,1UTI_A,57,8042027,3000153,184,8029648,1UTI,A:1-57,O89100,265-321,1UTI,A:1-57,O89100,265-321,1,1000001,2000090,4000369,All beta
31,1V2F_A,368,8041134,3000954,331,8028755,1V2F,A:1-368,Q75WK2,1-368,1V2F,A:1-368,Q75WK2,1-368,1,1000002,2000607,4000670,alpha / beta
32,1V70_A,105,8043014,3001825,121,8030635,1V70,A:1-105,Q5SM39,1-105,1V70,A:1-105,Q5SM39,1-105,1,1000001,2000048,4003968,All beta
33,1VLK_A,142,8037115,3001717,55,8024736,1VLK,A:12-157,P03180,27-168,1VLK,A:12-157,P03180,27-168,1,1000000,2001054,4000854,All alpha
34,1W8O_A,356,8043344,3001607,79,8030965,1W8O,A:47-402,Q02834,47-402,1W8O,A:47-402,Q02834,47-402,1,1000001,2000982,4002683,All beta
35,1WLU_A,116,8033091,3000149,131,8020711,1WLU,A:2-117,Q5SJP3,2-117,1WLU,A:2-117,Q5SJP3,2-117,1,1000003,2000130,4000624,alpha + beta
36,1XWN_A,166,8033930,3000168,68,8021550,1XWN,A:1-166,Q9Y3C6,1-166,1XWN,A:1-166,Q9Y3C6,1-166,1,1000001,2000164,4000390,All beta
37,1YR0_A,163,8034862,3000403,181,8022482,1YR0,A:4-166,A9CJR4,2-164,1YR0,A:4-166,A9CJR4,2-164,1,1000003,2000303,4001800,alpha + beta
38,2B5A_A,77,8037661,3000119,51,8025282,2B5A,A:1-77,2B5A_A,1-77,2B5A,A:1-77,2B5A_A,1-77,1,1000000,2000087,4000896,All alpha
39,2BWJ_A,192,8057971,3002021,179,8018957,2BWJ,A:5-196,Q9Y6K8,370-561,2BWJ,A:5-196,Q9Y6K8,370-561,1,1000003,2001257,4004025,alpha + beta
40,2C21_A,139,8039098,3000739,74,8026719,2C21,A:3-141,Q68RJ8,3-141,2C21,A:3-141,Q68RJ8,3-141,1,1000003,2000478,4001094,alpha + beta
41,2CNW_D,191,8056572,3002018,103,8056570,2CNW,D:21-303,P83749,21-303,2CNW,D:102-292,P83749,102-292,1,1000002,2001245,4003997,alpha / beta
42,2CYB_B,320,8082043,3001541,126,8082042,2CYB,B:1-320,O29482,1-320,2CYB,B:1-320,O29482,1-320,1,1000002,2000025,4003807,alpha / beta
43,2D9Y_A,104,8062123,3000134,156,8062122,2D9Y,A:8-111,Q9Y2H5,57-160,2D9Y,A:8-111,Q9Y2H5,57-160,1,1000001,2000118,4002395,All beta
44,2DKF_A,431,8033776,3001057,109,8021396,2DKF,A:1-431,Q5SLP1,1-431,2DKF,A:1-431,Q5SLP1,1-431,1,1000003,2000669,4000432,alpha + beta
45,2DS4_A,106,8078447,3000070,225,8078446,2DS4,A:8-113,Q9H8W5,396-501,2DS4,A:8-113,Q9H8W5,396-501,1,1000001,2000051,4007519,All beta
46,2DYK_A,161,8058050,3002022,275,8019371,2DYK,A:1-161,Q5SIH8,1-161,2DYK,A:1-161,Q5SIH8,1-161,1,1000002,2001260,4004038,alpha / beta
47,2F2H_A,80,8040491,3001528,131,8028112,2F2H,A:586-665,P31434,586-665,2F2H,A:586-665,P31434,586-665,1,1000001,2000937,4003233,All beta
48,2GH9_A,378,8076129,3000083,224,8076128,2GH9,A:2-379,Q72I44,20-397,2GH9,A:2-379,Q72I44,20-397,1,1000002,2000060,4000229,alpha / beta
49,2HSZ_A,224,8042419,3001890,131,8030040,2HSZ,A:1-224,Q0I1W8,1-224,2HSZ,A:1-224,Q0I1W8,1-224,1,1000002,2001153,4002304,alpha / beta
50,2I2Y_A,86,8064949,3000110,231,8064948,2I2Y,A:65-150,P84103,1-86,2I2Y,A:65-150,P84103,1-86,1,1000003,2000014,4000236,alpha + beta
