,Method,GDT_TS Pearson,GDT_TS Spearman,GDT_TS Loss,GDT_TS MAE
0,identity(%),0.6358412517762947,0.5070624811577563,4.0958046507935455,0.3713529742206919
1,positive(%),0.6614360902312696,0.5395363388245952,4.901599508943436,0.2151022195771255
2,coverage(%),0.43782532187354317,0.35884938749104567,10.067840198293446,0.21069845994298142
3,DOPE,0.7447035862678634,0.6751509067650053,4.013099999999999,
4,SOAP,0.6422272069767884,0.6028338681246174,3.8179999999999983,
5,ProQ3D,0.7245054464137775,0.6631008756753124,4.561599999999999,0.12936294239189097
6,SBROD,0.6758214685736263,0.6131805813076785,5.797199999999997,
7,DeepAccNet,0.7479600217439301,0.6748962636630393,3.2884999999999995,0.23837631033871634
8,DeepAccNet-Bert,0.8205269855447416,0.7538255258685925,3.3722000000000003,0.17275518450031543
9,P3CMQA,0.8381022339120549,0.7767864430122299,3.0905999999999993,0.09638763046368658
