,Model,Target,Template,GDT_TS,GDT_HA,SeqLength,identity,positive,coverage,identity(-misres),positive(-misres),coverage(-misres),num_misres
105,1FHU_A_2PS2_A_3_3,1FHU_A,2PS2_A_3,0.4522,0.2651,320,53,102,282,52,100,282,7
106,1FHU_A_4MGG_A_3_4,1FHU_A,4MGG_A_3,0.4941,0.3087,320,56,107,278,56,107,278,0
107,1FHU_A_1WUF_A_3_3,1FHU_A,1WUF_A_3,0.557,0.3532,320,54,114,299,54,114,299,0
108,1FHU_A_3Q45_A_3_2,1FHU_A,3Q45_A_3,0.5721,0.37,320,61,108,301,61,108,301,0
109,1FHU_A_3GC2_A_1_2,1FHU_A,3GC2_A_1,0.9723,0.8649,320,276,291,319,276,291,319,5
110,1FHU_A_3Q45_A_3_5,1FHU_A,3Q45_A_3,0.5839,0.3826,320,61,108,301,61,108,301,0
111,1FHU_A_3IJI_A_2_1,1FHU_A,3IJI_A_2,0.44799999999999995,0.2735,320,60,110,269,60,110,269,0
112,1FHU_A_3DES_A_3_1,1FHU_A,3DES_A_3,0.4958,0.3154,320,72,117,296,72,117,296,0
113,1FHU_A_4IZG_A_3_2,1FHU_A,4IZG_A_3,0.5378,0.3247,320,58,97,305,58,97,305,0
114,1FHU_A_3GC2_A_1_5,1FHU_A,3GC2_A_1,0.9790000000000001,0.8683,320,276,291,319,276,291,319,5
115,1FHU_A_3JVA_A_2_1,1FHU_A,3JVA_A_2,0.4346,0.2609,320,72,121,290,72,121,290,0
116,1FHU_A_2PS2_A_3_2,1FHU_A,2PS2_A_3,0.4874,0.3003,320,53,102,282,52,100,282,7
117,1FHU_A_1WUE_A_2_5,1FHU_A,1WUE_A_2,0.5512,0.354,320,66,118,282,66,118,282,0
118,1FHU_A_3Q45_A_3_3,1FHU_A,3Q45_A_3,0.5696,0.3674,320,61,108,301,61,108,301,0
119,1FHU_A_1WUF_A_3_2,1FHU_A,1WUF_A_3,0.5428,0.3423,320,54,114,299,54,114,299,0
120,1FHU_A_3R0K_A_2_4,1FHU_A,3R0K_A_2,0.5143,0.3205,320,59,115,284,58,114,284,15
121,1FHU_A_3IJI_A_2_2,1FHU_A,3IJI_A_2,0.4581,0.2836,320,60,110,269,60,110,269,0
122,1FHU_A_3DES_A_3_5,1FHU_A,3DES_A_3,0.4908,0.3054,320,72,117,296,72,117,296,0
123,1FHU_A_2FKP_A_3_5,1FHU_A,2FKP_A_3,0.5612,0.3565,320,52,102,304,52,102,304,10
124,1FHU_A_2QDD_A_2_2,1FHU_A,2QDD_A_2,0.4446,0.2743,320,71,115,283,70,114,283,2
125,1FHU_A_2P88_A_3_5,1FHU_A,2P88_A_3,0.4899,0.302,320,55,104,278,55,104,278,0
126,1FHU_A_3R0K_A_2_3,1FHU_A,3R0K_A_2,0.5319,0.3364,320,59,115,284,58,114,284,15
127,1FHU_A_5OLC_A_3_1,1FHU_A,5OLC_A_3,0.4639,0.2752,320,57,112,302,57,111,302,25
128,1FHU_A_2FKP_A_3_3,1FHU_A,2FKP_A_3,0.5705,0.3641,320,52,102,304,52,102,304,10
129,1FHU_A_3DES_A_3_2,1FHU_A,3DES_A_3,0.4983,0.3188,320,72,117,296,72,117,296,0
130,1FHU_A_3JVA_A_2_2,1FHU_A,3JVA_A_2,0.4438,0.2735,320,72,121,290,72,121,290,0
131,1FHU_A_2PS2_A_3_5,1FHU_A,2PS2_A_3,0.4807,0.2911,320,53,102,282,52,100,282,7
132,1FHU_A_2QDD_A_2_1,1FHU_A,2QDD_A_2,0.4362,0.2668,320,71,115,283,70,114,283,2
