,ProQ2D,ProQRosCenD,ProQRosFAD,ProQ3D
6K9F_B_7KEU_A_1_3,0.565887,0.602336,0.52262,0.512258
6K9F_B_2DBD_A_2_2,0.5342640000000001,0.649471,0.615644,0.558295
6K9F_B_6KI0_A_2_4,0.634475,0.737842,0.769515,0.6396029999999999
6K9F_B_2KN6_A_3_3,0.600625,0.7265050000000001,0.497041,0.576595
6K9F_B_2DBD_A_3_4,0.54359,0.566591,0.486493,0.5422939999999999
6K9F_B_6K99_A_3_5,0.593248,0.582106,0.527403,0.555196
6K9F_B_7KEU_A_3_1,0.630726,0.630893,0.5970300000000001,0.546038
6K9F_B_2KN6_A_2_2,0.501706,0.6242,0.473128,0.536158
6K9F_B_5FNA_A_2_3,0.441564,0.48128699999999996,0.399981,0.376496
6K9F_B_6K8J_A_2_2,0.625629,0.721902,0.584224,0.574863
6K9F_B_4IFP_A_3_2,0.675615,0.733639,0.686477,0.690394
6K9F_B_6N1I_A_1_4,0.548958,0.675567,0.488989,0.553077
6K9F_B_6N1I_A_2_1,0.659088,0.750107,0.788484,0.652895
6K9F_B_6K7V_A_3_2,0.543009,0.66481,0.5578930000000001,0.510464
6K9F_B_4IRL_A_3_4,0.660261,0.721917,0.733113,0.659342
6K9F_B_6MKS_A_1_1,0.687346,0.77232,0.843939,0.730975
6K9F_B_5H8O_B_3_4,0.5187579999999999,0.651756,0.49866800000000006,0.540143
6K9F_B_5H8O_B_3_1,0.483444,0.626622,0.400253,0.519564
6K9F_B_6GFJ_A_2_1,0.47047100000000003,0.532632,0.488171,0.495299
6K9F_B_6K8J_A_1_5,0.511269,0.6332260000000001,0.522634,0.48403599999999997
6K9F_B_7KEU_E_1_4,0.430507,0.39014299999999996,0.390181,0.45821000000000006
6K9F_B_1CWW_A_3_4,0.43236899999999995,0.395399,0.37325,0.399544
6K9F_B_5GPQ_A_2_3,0.586911,0.562976,0.552184,0.551197
6K9F_B_4IRL_A_2_5,0.6467350000000001,0.737874,0.7365229999999999,0.6724399999999999
6K9F_B_3T6P_A_2_2,0.651983,0.703041,0.71495,0.6689649999999999
6K9F_B_1CWW_A_3_3,0.420278,0.43102399999999996,0.375552,0.40016199999999996
6K9F_B_4IFP_A_2_1,0.6030409999999999,0.6639619999999999,0.6289,0.572146
