,ProQ2D,ProQRosCenD,ProQRosFAD,ProQ3D
2XXG_A_5NQ8_A_3_5,0.32513400000000003,0.327244,0.502356,0.355391
2XXG_A_5NQ7_A_3_1,0.26343099999999997,0.331741,0.47954399999999997,0.302921
2XXG_A_6H5Y_A_3_1,0.28071399999999996,0.330102,0.487225,0.31645500000000004
2XXG_A_3ZX1_A_2_5,0.306879,0.5045,0.501972,0.374325
2XXG_A_3H56_A_3_4,0.65532,0.772425,0.9691420000000001,0.810336
2XXG_A_3ZX1_A_2_2,0.325473,0.46881300000000004,0.5789989999999999,0.406981
2XXG_A_5LDU_A_3_3,0.25107399999999996,0.329353,0.454142,0.280323
2XXG_A_3X1B_A_3_4,0.287866,0.364266,0.527614,0.351073
2XXG_A_5NQ7_A_3_2,0.29281599999999997,0.327505,0.5367689999999999,0.325558
2XXG_A_3X1B_A_3_3,0.27851,0.319214,0.458649,0.29909
2XXG_A_5NQ7_A_3_3,0.27615500000000004,0.333537,0.536929,0.32742
2XXG_A_6H5Y_A_3_2,0.298985,0.359457,0.556507,0.343403
2XXG_A_1MZY_A_1_5,0.658967,0.770059,0.961749,0.8113020000000001
2XXG_A_6WCN_A_2_2,0.275229,0.462557,0.565577,0.437829
2XXG_A_1GYC_A_3_3,0.287075,0.293538,0.464467,0.317861
2XXG_A_5NQ8_A_3_4,0.30589,0.346175,0.552776,0.35901700000000003
2XXG_A_1RZP_A_1_3,0.669619,0.794676,0.962501,0.810372
2XXG_A_5NQ8_A_3_2,0.285043,0.331214,0.503309,0.315203
2XXG_A_2XYB_A_3_3,0.31495,0.41126599999999996,0.544799,0.397084
2XXG_A_3ZX1_A_2_4,0.33115700000000003,0.48625799999999997,0.543499,0.399765
2XXG_A_2H5U_A_3_2,0.272061,0.30756300000000003,0.43581499999999995,0.30196799999999996
2XXG_A_2XYB_A_3_2,0.330785,0.389847,0.5283640000000001,0.369501
2XXG_A_1KYA_A_3_4,0.281634,0.32655500000000004,0.435932,0.305143
2XXG_A_6H5Y_A_3_4,0.273281,0.3233,0.5348729999999999,0.339233
2XXG_A_3ZX1_A_2_3,0.357549,0.499173,0.536393,0.417916
2XXG_A_3ZX1_A_2_1,0.347398,0.48866099999999996,0.528604,0.397377
2XXG_A_1KYA_A_3_3,0.247455,0.29025100000000004,0.42800299999999997,0.269876
2XXG_A_5LDU_A_3_4,0.248027,0.28953,0.385303,0.27531
2XXG_A_1GYC_A_3_2,0.286749,0.390268,0.500757,0.350213
2XXG_A_5LDU_A_3_1,0.26452,0.312973,0.408058,0.29604899999999995
2XXG_A_2H5U_A_3_5,0.27872600000000003,0.337467,0.46737399999999996,0.324497
2XXG_A_1KYA_A_3_1,0.25595,0.281022,0.402277,0.27363000000000004
2XXG_A_1L9O_A_3_5,0.656254,0.774165,0.967174,0.8224239999999999
2XXG_A_5NQ8_A_3_3,0.284467,0.31549699999999997,0.503572,0.314064
2XXG_A_1KYA_A_3_5,0.280513,0.28676399999999996,0.450579,0.298477
2XXG_A_6WCN_A_2_3,0.269225,0.435561,0.528092,0.386142
2XXG_A_2XYB_A_3_5,0.290619,0.374143,0.49940200000000007,0.34243
2XXG_A_3X1B_A_3_5,0.306294,0.307881,0.5493560000000001,0.341055
2XXG_A_6WCN_A_2_4,0.30175100000000005,0.440115,0.54638,0.411789
2XXG_A_1RZP_A_1_2,0.653802,0.793189,0.9631639999999999,0.8136979999999999
2XXG_A_1L9R_A_2_1,0.6599510000000001,0.780663,0.9587760000000001,0.820734
2XXG_A_6H5Y_A_3_5,0.288904,0.298709,0.49783599999999995,0.324488
2XXG_A_5I6L_A_2_1,0.6737529999999999,0.778467,0.9658260000000001,0.812362
2XXG_A_5LDU_A_3_5,0.271309,0.297624,0.468305,0.30794699999999997
2XXG_A_6WCN_A_2_1,0.29439099999999996,0.45043999999999995,0.566866,0.406093
2XXG_A_3H4F_A_3_3,0.66499,0.7859149999999999,0.9604010000000001,0.81618
2XXG_A_1GYC_A_3_5,0.27833800000000003,0.368625,0.49809,0.335995
2XXG_A_1GYC_A_3_4,0.237267,0.353428,0.451643,0.31787
2XXG_A_5LDU_A_3_2,0.270874,0.289002,0.446165,0.300831
2XXG_A_2H5U_A_3_1,0.25240799999999997,0.30930599999999997,0.47066199999999997,0.29181799999999997
2XXG_A_6H5Y_A_3_3,0.255133,0.296771,0.451686,0.30932800000000005
2XXG_A_1GYC_A_3_1,0.290642,0.28070700000000004,0.49653400000000003,0.313216
2XXG_A_5NQ7_A_3_5,0.27717800000000004,0.320731,0.5058600000000001,0.32284
2XXG_A_1KYA_A_3_2,0.322443,0.367569,0.483207,0.345465
2XXG_A_5I6L_A_1_3,0.6622899999999999,0.785284,0.960886,0.811867
2XXG_A_1L9Q_A_2_4,0.6581229999999999,0.772918,0.9657040000000001,0.815012
2XXG_A_1NDR_A_1_3,0.628202,0.74855,0.830752,0.726883
2XXG_A_6WCN_A_2_5,0.314663,0.45966599999999996,0.547272,0.425883
2XXG_A_2H5U_A_3_4,0.257693,0.299554,0.480566,0.29489699999999996
2XXG_A_3X1B_A_3_2,0.251121,0.309583,0.5253,0.312981
2XXG_A_5NQ8_A_3_1,0.259281,0.288392,0.396121,0.26826300000000003
2XXG_A_2H5U_A_3_3,0.299183,0.284747,0.41355600000000003,0.324144
2XXG_A_3X1B_A_3_1,0.256362,0.30492600000000003,0.51623,0.304671
2XXG_A_5NQ7_A_3_4,0.292638,0.354976,0.518825,0.33315100000000003
3V4C_A_4WJ9_A_2_1,0.353491,0.501587,0.634774,0.466343
3V4C_A_1BXS_A_3_1,0.355159,0.480947,0.49984300000000004,0.44487200000000005
3V4C_A_5X5T_A_1_5,0.19425,0.362241,0.352321,0.285317
3V4C_A_5L2M_A_3_2,0.34642,0.484196,0.515613,0.444188
3V4C_A_4MPB_A_2_5,0.333854,0.48640200000000006,0.518386,0.42613
3V4C_A_1BI9_A_3_5,0.38462199999999996,0.521625,0.566235,0.455874
3V4C_A_6ALJ_A_3_2,0.361697,0.49766400000000005,0.5193979999999999,0.466157
3V4C_A_1BXS_A_2_4,0.350114,0.506845,0.613478,0.448288
3V4C_A_6VWF_A_3_3,0.308559,0.447553,0.411296,0.36801999999999996
3V4C_A_1BI9_A_3_3,0.353988,0.491612,0.5465,0.42881899999999995
3V4C_A_4NEA_A_2_2,0.30954299999999996,0.48379099999999997,0.50288,0.392436
3V4C_A_5A2D_A_2_2,0.317117,0.44509399999999993,0.497983,0.378004
3V4C_A_1A4S_A_3_3,0.352507,0.49013100000000004,0.520511,0.452664
3V4C_A_4DAL_A_1_5,0.23763600000000001,0.423967,0.349713,0.29584
3V4C_A_5GTK_A_3_4,0.38287899999999997,0.505587,0.584869,0.464373
3V4C_A_5ABM_A_3_2,0.351679,0.47680100000000003,0.560167,0.443538
3V4C_A_4GO3_A_3_1,0.367514,0.535558,0.560438,0.494792
3V4C_A_5L2M_A_3_1,0.368071,0.473984,0.606742,0.46527799999999997
3V4C_A_4GO3_A_3_3,0.367429,0.5155649999999999,0.514436,0.482112
3V4C_A_2WME_A_3_1,0.343074,0.497666,0.61461,0.461308
3V4C_A_1BXS_A_3_3,0.332158,0.485116,0.5100399999999999,0.44382200000000005
3V4C_A_1A4Z_A_2_1,0.336617,0.476396,0.49783299999999997,0.442129
3V4C_A_1EYY_A_1_4,0.45351800000000003,0.697797,0.796515,0.5907979999999999
