,Model,Target,identity(%),positive(%),coverage(%),identity(-misres)(%),positive(-misres)(%),coverage(-misres)(%),DOPE,SOAP,SBROD,ProQ2D,ProQRosCenD,ProQRosFAD,ProQ3D,P3CMQA,DeepAccNet,DeepAccNet-Bert
105,1FHU_A_2PS2_A_3_3,1FHU_A,0.165625,0.31875,0.88125,0.1625,0.3125,0.88125,27283.328125,33152.53125,1.46774029608,0.48095600000000005,0.468546,0.527342,0.46682700000000005,0.514867901802063,0.281982421875,0.413330078125
106,1FHU_A_4MGG_A_3_4,1FHU_A,0.175,0.334375,0.86875,0.175,0.334375,0.86875,27319.70703125,38548.46484375,1.4179074138799999,0.458888,0.4512819999999999,0.55587,0.4570979999999999,0.4824777245521546,0.301025390625,0.41357421875
107,1FHU_A_1WUF_A_3_3,1FHU_A,0.16875,0.35625,0.934375,0.16875,0.35625,0.934375,28419.498046875,86647.0625,1.5104342943399998,0.4721359999999999,0.552297,0.632781,0.5260199999999999,0.5185301899909973,0.3369140625,0.4404296875
108,1FHU_A_3Q45_A_3_2,1FHU_A,0.190625,0.3375,0.940625,0.190625,0.3375,0.940625,29572.853515625,80894.78125,1.46080516436,0.511055,0.54506,0.696479,0.606543,0.6079025864601135,0.3466796875,0.459716796875
109,1FHU_A_3GC2_A_1_2,1FHU_A,0.8625,0.909375,0.996875,0.8625,0.909375,0.996875,37308.6796875,214635.546875,1.7068643522799998,0.694141,0.762379,0.9344629999999999,0.8212450000000001,0.9713990092277528,0.83203125,0.74755859375
110,1FHU_A_3Q45_A_3_5,1FHU_A,0.190625,0.3375,0.940625,0.190625,0.3375,0.940625,29975.28515625,94574.328125,1.46669981474,0.514018,0.566943,0.661323,0.5977439999999999,0.6033139228820801,0.344970703125,0.4580078125
111,1FHU_A_3IJI_A_2_1,1FHU_A,0.1875,0.34375,0.840625,0.1875,0.34375,0.840625,26802.421875,49651.484375,1.3914322944,0.4374189999999999,0.458975,0.524003,0.4560649999999999,0.4659393429756165,0.292724609375,0.3994140625
112,1FHU_A_3DES_A_3_1,1FHU_A,0.225,0.365625,0.925,0.225,0.365625,0.925,28210.111328125,70681.421875,1.41190058985,0.438841,0.44285,0.583924,0.4943649999999999,0.3903367817401886,0.302490234375,0.388916015625
113,1FHU_A_4IZG_A_3_2,1FHU_A,0.18125,0.303125,0.953125,0.18125,0.303125,0.953125,28982.0859375,12077.205078125,1.4303011982799998,0.46137100000000003,0.505931,0.573628,0.556825,0.5141889452934265,0.330322265625,0.431884765625
114,1FHU_A_3GC2_A_1_5,1FHU_A,0.8625,0.909375,0.996875,0.8625,0.909375,0.996875,37747.96484375,218322.171875,1.7155846284799998,0.701417,0.760793,0.930348,0.8293889999999999,0.9665997624397278,0.86181640625,0.83203125
115,1FHU_A_3JVA_A_2_1,1FHU_A,0.225,0.378125,0.90625,0.225,0.378125,0.90625,28353.77734375,73423.5390625,1.47371001629,0.419738,0.3608699999999999,0.401142,0.393212,0.4122699797153473,0.309326171875,0.414306640625
116,1FHU_A_2PS2_A_3_2,1FHU_A,0.165625,0.31875,0.88125,0.1625,0.3125,0.88125,26803.375,28683.47265625,1.4276080472600001,0.466865,0.477574,0.531809,0.500758,0.5052825212478638,0.28076171875,0.41796875
117,1FHU_A_1WUE_A_2_5,1FHU_A,0.20625,0.36875,0.88125,0.20625,0.36875,0.88125,27458.22265625,72200.734375,1.4902665551499998,0.447866,0.448849,0.586221,0.469217,0.3885583281517029,0.287353515625,0.415283203125
