,dope,soap
2XXG_A_3ZX1_A_2_5,-24677.50390625,-76104.6015625
2XXG_A_5NQ7_A_3_4,-25672.40234375,-102981.1796875
2XXG_A_5NQ7_A_3_5,-25038.34765625,-92104.234375
2XXG_A_1KYA_A_3_3,-25545.5078125,-77456.328125
2XXG_A_2XYB_A_3_3,-26124.66015625,-94472.78125
2XXG_A_5LDU_A_3_1,-24528.880859375,-72754.53125
2XXG_A_5LDU_A_3_4,-24522.396484375,-61516.98046875
2XXG_A_6H5Y_A_3_2,-24615.96875,-97723.46875
2XXG_A_3X1B_A_3_1,-25561.654296875,-84467.9140625
2XXG_A_3X1B_A_3_3,-25707.123046875,-82937.234375
2XXG_A_3X1B_A_3_5,-25465.93359375,-82547.3984375
2XXG_A_5NQ8_A_3_3,-25826.28515625,-118782.1484375
2XXG_A_2H5U_A_3_5,-25176.18359375,-58437.10546875
2XXG_A_5NQ7_A_3_1,-25818.21484375,-110519.046875
2XXG_A_5LDU_A_3_5,-25241.783203125,-75067.859375
2XXG_A_3ZX1_A_2_2,-25273.375,-108548.4453125
2XXG_A_2H5U_A_3_4,-25268.142578125,-65921.875
2XXG_A_1NDR_A_1_3,-30405.6484375,-157825.265625
2XXG_A_1GYC_A_3_4,-25818.03125,-95848.96875
2XXG_A_6H5Y_A_3_3,-24894.013671875,-82566.5390625
2XXG_A_3X1B_A_3_4,-26018.8515625,-100726.2734375
2XXG_A_1KYA_A_3_1,-25890.515625,-74858.03125
2XXG_A_6WCN_A_2_4,-26071.470703125,-122947.2265625
2XXG_A_1GYC_A_3_1,-26064.4609375,-94320.6328125
2XXG_A_5I6L_A_2_1,-35231.3046875,-317279.375
2XXG_A_6WCN_A_2_5,-26259.8515625,-114043.6328125
2XXG_A_1GYC_A_3_3,-25674.212890625,-87946.4609375
2XXG_A_5NQ8_A_3_5,-24598.66015625,-61626.3359375
2XXG_A_5NQ8_A_3_1,-25008.92578125,-99354.640625
2XXG_A_5NQ7_A_3_2,-25302.541015625,-120505.046875
2XXG_A_3ZX1_A_2_4,-25224.365234375,-118788.015625
2XXG_A_1KYA_A_3_2,-25606.9765625,-54182.65625
